raw_comp_writers_text,CLEAN_TEXT
Jordan Riley/Adam Argyle/Martin Brammer,Jordan Riley/Adam Argyle/Martin Brammer
Martin Hygård,Martin Hygård
Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright
Mendel Brikman,Mendel Brikman
Alvin Lee,Alvin Lee
Haddag Samir/MusicAlligator,Haddag Samir
Mefi Morales,Mefi Morales
Christopher Franke,Christopher Franke
UNKNOWN WRITER (999990),
Shashank Katkar,Shashank Katkar
L. Chandler/John Hammond,L. Chandler/John Hammond
Itsjaygocrazy/Jordan Ancrum,Jordan Ancrum
Ferhan C/Aaron Tyler/Blue Stamp Music,Aaron Tyler
Mike Kalambay,Mike Kalambay
Rikard Sjöblom,Rikard Sjöblom
Junior Francisco,Junior Francisco
PHUC TRUONG,
Slatt Zy,
Bằng Giang/Tú Nhi,G/T
